! 1
" 30
# 2
% 1039
& 487
' 1
( 75
) 75
+ 86
, 56
. 1425
/ 202
: 63
; 512
@ 1
[ 15
] 15
{ 14
| 10
} 14
~ 1
  105
· 207
× 2
é 1
ù 1
ō 1
— 1426
‘ 166
’ 165
• 2
… 536
℃ 14
Ⅲ 3
Ⅳ 1
Ⅴ 1
− 1
∞ 1
≤ 1
① 13
② 12
③ 9
④ 3
⑤ 3
⑥ 1
⑨ 1
⑩ 1
■ 1
○ 1
　 9624
〇 5
〈 2
〉 2
【 8
】 8
一一 11
一万个 1
一万多 1
一万年 1
一万斤 1
一下 13
一下下 1
一下子 5
一业 4
一丝 1
一丝丝 1
一两 1
一两名 1
一两本 1
一个 489
一个个 23
一个半 1
一个多 4
一个多月 2
一个月 10
一个点 1
一个箭步 1
一个系列 1
一个组 1
一个集 2
一中 1
一串 1
一串串 1
一为 1
一举 1
一举一动 1
一举多得 1
一书 3
一事 3
一二 1
一二三 8
一二八 1
一些 121
一亩 3
一人 6
一人得道 1
一代 29
一代人 10
一代代 3
一代宗师 2
一以贯之 9
一件 21
一件件 5
一任 2
一份 24
一会 1
一会儿 5
一位 59
一体 28
一体化 45
一体机 1
一例 2
一侧 3
一倍 3
一元 3
一公号 1
一共 6
一再 1
一再强调 1
一出 3
一分收获 1
一分耕耘 1
一分钱 1
一划 1
一列 8
一到 4
一刻 2
一刻不停 1
一刻钟 1
一剂 1
一前一后 1
一副 4
一动 1
一动不动 1
一区 1
一千 1
一千万元 1
一千三百 1
一千余 1
一升 4
一半 15
一卫 1
一卷 2
一厂 1
一厅 1
一厢情愿 1
一去 1
一去不复返 1
一双 1
一反 2
一发而不可收 1
一口 6
一口气 2
一句 19
一句句 2
一只 17
一台 10
一叶 2
一号 81
一同 14
一名 47
一吐 1
一向 2
一听 2
一吻 1
一员 6
一周 3
一周年 1
一味 7
一呼百应 1
一响 2
一回 4
一团 1
一国两制 13
一图 3
一圈 3
一地 1
一场 40
一场场 3
一块 21
一块块 6
一城 2
一堂课 4
一堆 1
一声 11
一声声 1
一壶 1
一处 10
一夕之间 1
一夜 2
一大 20
一大半 1
一大截 2
一大批 13
一大早 4
一大步 1
一天 43
一头 5
一套 29
一如既往 6
一字之差 1
一季 3
一季度 148
一定 90
一审判决 1
一家 28
一家一户 1
一家亲 1
一家人 9
一家家 1
一家老小 1
一寸光阴一寸金 1
一对 7
一封 1
一封信 1
一封封 1
一尊 3
一尘不染 1
一层 12
一层楼 1
一届 6
一屏 1
一左一右 1
一师 11
一帘 1
一带 102
一席之地 2
一帮 3
一幅 12
一幅幅 3
一幕 2
一幕幕 6
一幢 2
一平方米 1
一年 72
一年一度 3
一年到头 2
一年半载 1
一年四季 3
一年多来 4
一年级 1
一并 4
一床 1
一应俱全 2
一度 10
一座 27
一张 31
一张白纸 2
